	precision	recall	f1-score	support
angry	0.7304964539007093	0.8110236220472441	0.7686567164179104	127.0
disgust	0.7314814814814815	0.6220472440944882	0.6723404255319149	127.0
fear	0.6461538461538462	0.6614173228346457	0.6536964980544748	127.0
happy	0.7672413793103449	0.6953125	0.7295081967213116	128.0
neutral	0.6861313868613139	0.8623853211009175	0.7642276422764229	109.0
sad	0.6460176991150443	0.5748031496062992	0.6083333333333333	127.0
accuracy	0.7006711409395974	0.7006711409395974	0.7006711409395974	0.7006711409395974
macro avg	0.70125370780379	0.7044981932805991	0.6994604687225614	745.0
weighted avg	0.7017076533722076	0.7006711409395974	0.697935956781661	745.0
