	precision	recall	f1-score	support
angry	0.8203125	0.8267716535433071	0.823529411764706	127.0
disgust	0.6950354609929078	0.7716535433070866	0.7313432835820896	127.0
fear	0.5975609756097561	0.7716535433070866	0.6735395189003436	127.0
happy	0.84375	0.6328125	0.7232142857142857	128.0
neutral	0.8260869565217391	0.8715596330275229	0.8482142857142858	109.0
sad	0.7326732673267327	0.5826771653543307	0.6491228070175438	127.0
accuracy	0.7395973154362416	0.7395973154362416	0.7395973154362416	0.7395973154362416
macro avg	0.7525698600751892	0.742854673089889	0.7414939321155424	745.0
weighted avg	0.750915997530071	0.7395973154362416	0.7388909173354368	745.0
