	precision	recall	f1-score	support
angry	0.5714285714285714	0.42105263157894735	0.48484848484848486	19.0
happy	0.3	0.3157894736842105	0.3076923076923077	19.0
neutral	0.21739130434782608	1.0	0.3571428571428571	10.0
questioning	0.0	0.0	0.0	0.0
sad	0.0	0.0	0.0	19.0
surprise	0.7142857142857143	0.25	0.37037037037037035	20.0
micro avg	0.3333333333333333	0.3333333333333333	0.3333333333333333	87.0
macro avg	0.30051759834368535	0.331140350877193	0.25334233667566997	87.0
weighted avg	0.3795031055900622	0.3333333333333333	0.29927713835759817	87.0
