	precision	recall	f1-score	support
angry	0.6239316239316239	0.5748031496062992	0.598360655737705	127.0
happy	0.38848920863309355	0.4251968503937008	0.406015037593985	127.0
neutral	0.4315068493150685	0.5779816513761468	0.4941176470588235	109.0
questioning	0.0	0.0	0.0	0.0
sad	0.7878787878787878	0.2047244094488189	0.325	127.0
surprise	0.0	0.0	0.0	0.0
accuracy	0.44081632653061226	0.44081632653061226	0.44081632653061226	0.44081632653061226
macro avg	0.3719677449597623	0.29711767680416096	0.30391555673175225	490.0
weighted avg	0.5625965272891176	0.44081632653061226	0.45446844200517633	490.0
