	precision	recall	f1-score	support
angry	0.41379310344827586	1.0	0.5853658536585366	12.0
happy	0.5	0.08333333333333333	0.14285714285714285	12.0
neutral	0.0	0.0	0.0	0.0
questioning	0.0	0.0	0.0	0.0
sad	0.0	0.0	0.0	13.0
surprise	0.0	0.0	0.0	0.0
micro avg	0.35135135135135137	0.35135135135135137	0.35135135135135137	37.0
macro avg	0.15229885057471262	0.18055555555555555	0.12137049941927991	37.0
weighted avg	0.29636533084808947	0.35135135135135137	0.23618043130238248	37.0
