	precision	recall	f1-score	support
angry	0.6415094339622641	0.2677165354330709	0.37777777777777777	127.0
happy	0.5813953488372093	0.3937007874015748	0.4694835680751174	127.0
neutral	0.3440514469453376	0.981651376146789	0.5095238095238095	109.0
questioning	0.0	0.0	0.0	0.0
sad	0.8888888888888888	0.06299212598425197	0.11764705882352941	127.0
surprise	0.0	0.0	0.0	0.0
accuracy	0.4061224489795918	0.4061224489795918	0.4061224489795918	0.4061224489795918
macro avg	0.4093075197722833	0.28434347082761446	0.2457387023667057	490.0
weighted avg	0.6238763347376812	0.4061224489795918	0.3634315563918391	490.0
