	precision	recall	f1-score	support
angry	1.0	0.9393939393939394	0.96875	33.0
happy	0.9402985074626866	0.9545454545454546	0.9473684210526316	66.0
neutral	0.8048780487804879	1.0	0.8918918918918919	66.0
questioning	0.9696969696969697	1.0	0.9846153846153847	32.0
sad	1.0	0.8153846153846154	0.8983050847457628	65.0
surprise	1.0	0.9393939393939394	0.96875	66.0
accuracy	0.9359756097560976	0.9359756097560976	0.9359756097560976	0.9359756097560976
macro avg	0.952478920990024	0.9414529914529915	0.9432801303842785	328.0
weighted avg	0.9457681577510748	0.9359756097560976	0.9365699800930043	328.0
