	precision	recall	f1-score	support
angry	0.9230769230769231	1.0	0.9600000000000001	12.0
disgust	0.8333333333333334	0.8333333333333334	0.8333333333333334	12.0
fear	1.0	0.8333333333333334	0.9090909090909091	12.0
happy	0.8333333333333334	0.8333333333333334	0.8333333333333334	12.0
sad	0.9285714285714286	1.0	0.962962962962963	13.0
accuracy	0.9016393442622951	0.9016393442622951	0.9016393442622951	0.9016393442622951
macro avg	0.9036630036630037	0.9	0.8997441077441077	61.0
weighted avg	0.904071338497568	0.9016393442622951	0.9007804824198267	61.0
