	precision	recall	f1-score	support
angry	0.8571428571428571	1.0	0.923076923076923	12.0
disgust	0.9166666666666666	0.9166666666666666	0.9166666666666666	12.0
fear	1.0	1.0	1.0	12.0
happy	0.9	0.75	0.8181818181818182	12.0
sad	1.0	1.0	1.0	13.0
accuracy	0.9344262295081968	0.9344262295081968	0.9344262295081968	0.9344262295081968
macro avg	0.9347619047619048	0.9333333333333332	0.9315850815850816	61.0
weighted avg	0.9358313817330212	0.9344262295081968	0.9327066376246705	61.0
