	angry	happy	neutral	questioning	sad	surprise
angry	32	1	0	0	0	0
happy	0	57	4	0	0	5
neutral	0	1	62	0	3	0
questioning	0	0	0	32	0	0
sad	0	1	7	0	57	0
surprise	0	2	0	0	0	64
