	angry	happy	neutral	questioning	sad	surprise
angry	33	0	0	0	0	0
happy	3	51	4	0	0	8
neutral	1	0	64	0	1	0
questioning	0	0	0	32	0	0
sad	0	1	7	0	57	0
surprise	1	0	0	0	0	65
