	angry	happy	neutral	questioning	sad	surprise
angry	32	1	0	0	0	0
happy	1	53	7	0	1	4
neutral	0	0	65	0	1	0
questioning	0	0	0	32	0	0
sad	0	1	4	0	60	0
surprise	0	2	0	0	0	64
