	precision	recall	f1-score	support
angry	0.3157894736842105	0.18181818181818182	0.23076923076923078	33.0
happy	0.0	0.0	0.0	66.0
neutral	0.21359223300970873	1.0	0.35200000000000004	66.0
questioning	0.0	0.0	0.0	32.0
sad	0.0	0.0	0.0	65.0
surprise	0.0	0.0	0.0	66.0
accuracy	0.21951219512195122	0.21951219512195122	0.21951219512195122	0.21951219512195122
macro avg	0.08823028444898655	0.196969696969697	0.09712820512820514	328.0
weighted avg	0.07475042686042599	0.21951219512195122	0.09404690431519701	328.0
