	angry	happy	neutral	questioning	sad	surprise
angry	6	0	27	0	0	0
happy	7	0	59	0	0	0
neutral	0	0	66	0	0	0
questioning	0	0	32	0	0	0
sad	0	0	65	0	0	0
surprise	6	0	60	0	0	0
